tool,tool category,link,integration,dbt Cloud/dbt Core (use with caution)
cube,semantic,https://cube.dev/,"Today, we are happy to announce an integration with dbt Metrics. Cube can now read metrics from dbt, merge them into Cube’s data model, provide caching and access control, and expose metrics via our APIs to downstream applications.",?
Preset,semantic,https://preset.io/,dbt is a framework for managing data transformation SQL queries in source control and running them inside your database. dbt makes it easy to reliably produce clean datasets and metrics for visualization in Preset.,dbt Core
datafold,testing,https://www.datafold.com/,"Get full test coverage across all your dbt models. See how SQL updates effect tables, columns, rows, and dashboards before merging to production.",dbt Cloud/dbt Core
PipeRider ,testing,https://piperider.io/,"PipeRider is a non-intrusive open-source platform for adding profiling and assertions to data sources (such as dbt, Postgres, Snowflake).",?
fivetran,universal data integration (ELT),https://www.fivetran.com/,Orchestrate custom data transformations in your destination with Transformations for dbt Core,dbt Core
precog,universal data integration (ELT),https://precog.com/,Scalable Self-Service data ingest for DBT.,?
Airbyte ,universal data integration (ELT),https://airbyte.com/, Integrate SQL based transformations with Airbyte syncs using specialized transformation tool: dbt.,dbt Core
meltano,universal data integration (ELT),https://meltano.com/,The dbt transformer is a plugin for running SQL-based transformations on data stored in your warehouse. ,?
matillion,universal data integration (ELT),https://www.matillion.com/,You will now be able to trigger your existing dbt scripts in a Matillion pipeline without having to write any code or leave your Matillion instance. ,?
Striim ,universal data integration (ELT),https://www.striim.com/,Striim streams real-time data into the target warehouse where analysts can leverage dbt to build models and transformations.,dbt Cloud
 Qlik Application Automation ,universal data integration (ELT),https://www.qlik.com/us/,"Dbt (data build tool) is a solution that enables data analysts and engineers to transform, test, and document data in their cloud data warehouses. Use the connector and blocks to control dbtCloud jobs as an action within Qlik Cloud.  ",?
Alteryx ,universal data integration (ELT),https://www.alteryx.com/,"Our goal is to provide you with the best of Designer Cloud and dbt Core to uncover, troubleshoot, and address potential data quality issues. ",dbt Core
Keboola,data platform,https://www.keboola.com/product/dbt,"Bring your existing dbt code, start fresh or start by orchestrating existing dbt cloud jobs as a part of bigger data pipelines. Collect job information and artifacts. Visualize dbt docs in one click",dbt Cloud and dbt Core
