ORDERNUMBER,QUANTITYORDERED,SALES,ORDERDATE,PRODUCTLINE
10322,40,8,11/4/2018 0:00,Classic Cars
10333,26,8,11/18/2018 0:00,Classic Cars
10347,30,8,11/29/2018 0:00,Classic Cars
10357,32,8,12/10/2018 0:00,Classic Cars
10369,41,7,1/20/2019 0:00,Classic Cars
10381,36,7,2/17/2019 0:00,Classic Cars
10391,24,7,3/9/2019 0:00,Classic Cars
10411,23,6,5/1/2019 0:00,Classic Cars
10424,50,6,5/31/2019 0:00,Classic Cars
10107,39,3896.49,2/24/2003 0:00,Motorcycles
10120,29,2793.86,4/29/2003 0:00,Motorcycles
10134,27,3307.77,7/1/2003 0:00,Motorcycles
10145,37,5192.95,8/25/2003 0:00,Motorcycles
10159,37,5016.83,10/10/2003 0:00,Motorcycles
10168,27,3660.93,10/28/2003 0:00,Motorcycles
10180,42,4695.6,11/11/2003 0:00,Motorcycles
10188,38,3660.92,11/18/2003 0:00,Motorcycles
10201,24,3025.92,12/1/2003 0:00,Motorcycles
10210,23,8,1/12/2018 0:00,Motorcycles
10223,47,8,2/20/2018 0:00,Motorcycles
10236,22,8,4/3/2018 0:00,Motorcycles
10251,44,8,5/18/2018 0:00,Motorcycles
10263,40,8,6/28/2018 0:00,Motorcycles
10275,22,8,7/23/2018 0:00,Motorcycles
10285,47,8,8/27/2018 0:00,Motorcycles
10298,39,8,9/27/2018 0:00,Motorcycles
10308,34,8,10/15/2018 0:00,Motorcycles
10318,45,8,11/2/2018 0:00,Motorcycles
10329,20,8,11/15/2018 0:00,Motorcycles
10339,40,8,11/23/2018 0:00,Motorcycles
10361,26,8,12/17/2018 0:00,Motorcycles
10374,39,7,2/2/2019 0:00,Motorcycles
10388,50,7,3/3/2019 0:00,Motorcycles
10402,45,7,4/7/2019 0:00,Motorcycles
10417,45,6,5/13/2019 0:00,Motorcycles
10107,27,6065.55,2/24/2003 0:00,Motorcycles
10120,46,9264.86,4/29/2003 0:00,Motorcycles
10134,31,7023.98,7/1/2003 0:00,Motorcycles
10145,33,5176.38,8/25/2003 0:00,Motorcycles
10159,22,4132.7,10/10/2003 0:00,Motorcycles
10168,20,4183,10/28/2003 0:00,Motorcycles
10180,41,8892.9,11/11/2003 0:00,Motorcycles
10188,45,8714.7,11/18/2003 0:00,Motorcycles
10201,49,8065.89,12/1/2003 0:00,Motorcycles
10210,34,8,1/12/2018 0:00,Motorcycles
10223,49,8,2/20/2018 0:00,Motorcycles
10237,39,8,4/5/2018 0:00,Motorcycles
10251,43,8,5/18/2018 0:00,Motorcycles
10263,41,8,6/28/2018 0:00,Motorcycles
10275,36,8,7/23/2018 0:00,Motorcycles
10285,27,8,8/27/2018 0:00,Motorcycles
10299,29,8,9/30/2018 0:00,Motorcycles
10308,20,8,10/15/2018 0:00,Motorcycles
10318,37,8,11/2/2018 0:00,Motorcycles
10329,26,8,11/15/2018 0:00,Motorcycles
10339,39,8,11/23/2018 0:00,Motorcycles
10362,22,7,1/5/2019 0:00,Motorcycles
10374,22,7,2/2/2019 0:00,Motorcycles
10388,21,7,3/3/2019 0:00,Motorcycles
10403,66,7,4/8/2019 0:00,Motorcycles
10417,56,6,5/13/2019 0:00,Motorcycles
10105,50,7208,2/11/2003 0:00,Classic Cars
10119,46,5004.8,4/28/2003 0:00,Classic Cars
10129,33,4398.24,6/12/2003 0:00,Classic Cars
10143,49,5597.76,8/10/2003 0:00,Classic Cars
10155,32,4526.08,10/6/2003 0:00,Classic Cars
10167,44,5924.16,10/23/2003 0:00,Classic Cars
10178,24,3492.48,11/8/2003 0:00,Classic Cars
10186,26,3854.24,11/14/2003 0:00,Classic Cars
10197,45,5324.4,11/26/2003 0:00,Classic Cars
10209,39,8,1/9/2018 0:00,Classic Cars
10222,49,8,2/19/2018 0:00,Classic Cars
10248,20,8,5/7/2018 0:00,Classic Cars
10261,27,8,6/17/2018 0:00,Classic Cars
10273,30,8,7/21/2018 0:00,Classic Cars
10283,25,8,8/20/2018 0:00,Classic Cars
10295,24,8,9/10/2018 0:00,Classic Cars
10307,22,8,10/14/2018 0:00,Classic Cars
10316,33,8,11/1/2018 0:00,Classic Cars
10325,47,8,11/5/2018 0:00,Classic Cars
10337,25,8,11/21/2018 0:00,Classic Cars
10350,26,8,12/2/2018 0:00,Classic Cars
10359,48,8,12/15/2018 0:00,Classic Cars
10373,39,7,1/31/2019 0:00,Classic Cars
10384,34,7,2/23/2019 0:00,Classic Cars
10395,32,7,3/17/2019 0:00,Classic Cars
10400,64,7,4/1/2019 0:00,Classic Cars
10414,19,6,5/6/2019 0:00,Classic Cars
10103,42,5398.26,1/29/2003 0:00,Classic Cars
10114,31,4305.28,4/1/2003 0:00,Classic Cars
10126,22,3347.74,5/28/2003 0:00,Classic Cars
10140,26,3188.12,7/24/2003 0:00,Classic Cars
10150,20,3191.2,9/19/2003 0:00,Classic Cars
10164,21,3536.82,10/21/2003 0:00,Classic Cars
10175,33,5362.83,11/6/2003 0:00,Classic Cars
10183,28,3433.36,11/13/2003 0:00,Classic Cars
10194,26,4263.74,11/25/2003 0:00,Classic Cars
10207,31,4076.19,12/9/2003 0:00,Classic Cars
10217,48,8,2/4/2018 0:00,Classic Cars
10229,50,8,3/11/2018 0:00,Classic Cars
10245,28,8,5/4/2018 0:00,Classic Cars
10259,26,8,6/15/2018 0:00,Classic Cars
10270,32,8,7/19/2018 0:00,Classic Cars
10281,44,8,8/19/2018 0:00,Classic Cars
10291,30,8,9/8/2018 0:00,Classic Cars
10305,38,8,10/13/2018 0:00,Classic Cars
10313,40,8,10/22/2018 0:00,Classic Cars
10322,46,8,11/4/2018 0:00,Classic Cars
10334,26,8,11/19/2018 0:00,Classic Cars
10347,27,8,11/29/2018 0:00,Classic Cars
10357,43,8,12/10/2018 0:00,Classic Cars
10370,35,7,1/20/2019 0:00,Classic Cars
10381,37,7,2/17/2019 0:00,Classic Cars
10391,37,7,3/9/2019 0:00,Classic Cars
10411,27,6,5/1/2019 0:00,Classic Cars
10425,38,6,5/31/2019 0:00,Classic Cars
10108,33,5265.15,3/3/2003 0:00,Classic Cars
10122,42,7599.9,5/8/2003 0:00,Classic Cars
10135,42,8008.56,7/2/2003 0:00,Classic Cars
10147,48,9245.76,9/5/2003 0:00,Classic Cars
10159,41,8296.35,10/10/2003 0:00,Classic Cars
10169,30,5019.9,11/4/2003 0:00,Classic Cars
10181,27,5411.07,11/12/2003 0:00,Classic Cars
10191,21,3840.9,11/20/2003 0:00,Classic Cars
10203,20,3930.4,12/2/2003 0:00,Classic Cars
10211,41,8,1/15/2018 0:00,Classic Cars
10225,27,8,2/22/2018 0:00,Classic Cars
10238,28,8,4/9/2018 0:00,Classic Cars
10253,24,8,6/1/2018 0:00,Classic Cars
10266,44,8,7/6/2018 0:00,Classic Cars
10276,50,8,8/2/2018 0:00,Classic Cars
10287,21,8,8/30/2018 0:00,Classic Cars
10300,33,5521.89,10/4/2003 0:00,Classic Cars
10310,33,8,10/16/2018 0:00,Classic Cars
10320,31,8,11/3/2018 0:00,Classic Cars
10329,41,8,11/15/2018 0:00,Classic Cars
10341,45,8,11/24/2018 0:00,Classic Cars
10363,33,7,1/6/2019 0:00,Classic Cars
10375,45,7,2/3/2019 0:00,Classic Cars
10389,26,7,3/3/2019 0:00,Classic Cars
10419,12,6,5/17/2019 0:00,Classic Cars
10105,41,8690.36,2/11/2003 0:00,Classic Cars
10117,33,6034.38,4/16/2003 0:00,Classic Cars
10127,46,11279.2,6/3/2003 0:00,Classic Cars
10142,33,8023.29,8/8/2003 0:00,Classic Cars
10153,20,4904,9/28/2003 0:00,Classic Cars
10165,44,8594.52,10/22/2003 0:00,Classic Cars
10176,33,7474.5,11/6/2003 0:00,Classic Cars
10185,21,3883.74,11/14/2003 0:00,Classic Cars
10196,47,8887.7,11/26/2003 0:00,Classic Cars
10208,46,8,1/2/2018 0:00,Classic Cars
10220,32,8,2/12/2018 0:00,Classic Cars
10231,42,8,3/19/2018 0:00,Classic Cars
10247,44,8,5/5/2018 0:00,Classic Cars
10272,35,8,7/20/2018 0:00,Classic Cars
10282,41,8,8/20/2018 0:00,Classic Cars
10293,46,8,9/9/2018 0:00,Classic Cars
10306,31,8,10/14/2018 0:00,Classic Cars
10314,38,8,10/22/2018 0:00,Classic Cars
10325,42,8,11/5/2018 0:00,Classic Cars
10336,33,8,11/20/2018 0:00,Classic Cars
10348,48,8,11/1/2018 0:00,Classic Cars
10359,42,8,12/15/2018 0:00,Classic Cars
10371,32,7,1/23/2019 0:00,Classic Cars
10382,34,7,2/17/2019 0:00,Classic Cars
10395,33,7,3/17/2019 0:00,Classic Cars
10413,36,6,5/5/2019 0:00,Classic Cars
10103,27,3394.98,1/29/2003 0:00,Trucks and Buses
10113,21,3415.44,3/26/2003 0:00,Trucks and Buses
10126,21,2439.57,5/28/2003 0:00,Trucks and Buses
10140,38,4829.8,7/24/2003 0:00,Trucks and Buses
10150,30,4100.1,9/19/2003 0:00,Trucks and Buses
10164,49,6563.06,10/21/2003 0:00,Trucks and Buses
10174,43,6817.22,11/6/2003 0:00,Trucks and Buses
10183,41,6163.94,11/13/2003 0:00,Trucks and Buses
10194,38,4933.92,11/25/2003 0:00,Trucks and Buses
10206,28,4056.36,12/5/2003 0:00,Trucks and Buses
10216,43,8,2/2/2018 0:00,Trucks and Buses
10229,25,8,3/11/2018 0:00,Trucks and Buses
10245,38,8,5/4/2018 0:00,Trucks and Buses
10258,41,8,6/15/2018 0:00,Trucks and Buses
10270,28,8,7/19/2018 0:00,Trucks and Buses
10281,25,8,8/19/2018 0:00,Trucks and Buses
10291,41,8,9/8/2018 0:00,Trucks and Buses
10304,39,8,10/11/2018 0:00,Trucks and Buses
10313,21,8,10/22/2018 0:00,Trucks and Buses
10322,27,8,11/4/2018 0:00,Trucks and Buses
10333,33,8,11/18/2018 0:00,Trucks and Buses
10347,29,8,11/29/2018 0:00,Trucks and Buses
10357,49,8,12/10/2018 0:00,Trucks and Buses
10370,49,7,1/20/2019 0:00,Trucks and Buses
10381,20,7,2/17/2019 0:00,Trucks and Buses
10391,39,7,3/9/2019 0:00,Trucks and Buses
10411,40,6,5/1/2019 0:00,Trucks and Buses
10424,49,6,5/31/2019 0:00,Trucks and Buses
10107,21,3036.6,2/24/2003 0:00,Motorcycles
10121,50,8284,5/7/2003 0:00,Motorcycles
10134,20,2711.2,7/1/2003 0:00,Motorcycles
10145,49,8339.8,8/25/2003 0:00,Motorcycles
10159,38,6238.84,10/10/2003 0:00,Motorcycles
10169,35,4639.25,11/4/2003 0:00,Motorcycles
10180,40,6747.6,11/11/2003 0:00,Motorcycles
10189,28,4512.48,11/18/2003 0:00,Motorcycles
10201,25,4029,12/1/2003 0:00,Motorcycles
10211,36,8,1/15/2018 0:00,Motorcycles
10224,43,8,2/21/2018 0:00,Motorcycles
10237,32,8,4/5/2018 0:00,Motorcycles
10251,46,8,5/18/2018 0:00,Motorcycles
10263,48,8,6/28/2018 0:00,Motorcycles
10276,43,8,8/2/2018 0:00,Motorcycles
10285,49,8,8/27/2018 0:00,Motorcycles
10299,24,8,9/30/2018 0:00,Motorcycles
10309,26,8,10/15/2018 0:00,Motorcycles
10319,30,8,11/3/2018 0:00,Motorcycles
10329,24,8,11/15/2018 0:00,Motorcycles
10341,55,8,11/24/2018 0:00,Motorcycles
10362,22,7,1/5/2019 0:00,Motorcycles
10375,49,7,2/3/2019 0:00,Motorcycles
10388,44,7,3/3/2019 0:00,Motorcycles
10403,66,7,4/8/2019 0:00,Motorcycles
10417,21,6,5/13/2019 0:00,Motorcycles
10104,34,5958.5,1/31/2003 0:00,Classic Cars
10117,43,5911.64,4/16/2003 0:00,Classic Cars
10127,46,7366.44,6/3/2003 0:00,Classic Cars
10142,33,4985.64,8/8/2003 0:00,Classic Cars
10153,42,5393.64,9/28/2003 0:00,Classic Cars
10165,34,4880.02,10/22/2003 0:00,Classic Cars
10176,47,8378.69,11/6/2003 0:00,Classic Cars
10185,33,4038.21,11/14/2003 0:00,Classic Cars
10196,24,3807.12,11/26/2003 0:00,Classic Cars
10208,26,8,1/2/2018 0:00,Classic Cars
10220,30,8,2/12/2018 0:00,Classic Cars
10230,43,8,3/15/2018 0:00,Classic Cars
10247,25,8,5/5/2018 0:00,Classic Cars
10272,27,8,7/20/2018 0:00,Classic Cars
10282,27,8,8/20/2018 0:00,Classic Cars
10293,24,8,9/9/2018 0:00,Classic Cars
10306,34,8,10/14/2018 0:00,Classic Cars
10314,46,8,10/22/2018 0:00,Classic Cars
10324,27,8,11/5/2018 0:00,Classic Cars
10336,33,8,11/20/2018 0:00,Classic Cars
10348,47,8,11/1/2018 0:00,Classic Cars
10358,49,8,12/10/2018 0:00,Classic Cars
10372,40,7,1/26/2019 0:00,Classic Cars
10382,37,7,2/17/2019 0:00,Classic Cars
10413,47,6,5/5/2019 0:00,Classic Cars
10108,45,6130.35,3/3/2003 0:00,Classic Cars
10122,37,3693.34,5/8/2003 0:00,Classic Cars
10135,48,6031.68,7/2/2003 0:00,Classic Cars
10147,31,3494.94,9/5/2003 0:00,Classic Cars
10160,46,5294.14,10/11/2003 0:00,Classic Cars
10170,47,5464.69,11/4/2003 0:00,Classic Cars
10181,28,2860.76,11/12/2003 0:00,Classic Cars
10191,40,5590,11/20/2003 0:00,Classic Cars
10203,20,2254.8,12/2/2003 0:00,Classic Cars
10212,39,8,1/16/2018 0:00,Classic Cars
10225,25,8,2/22/2018 0:00,Classic Cars
10238,29,8,4/9/2018 0:00,Classic Cars
10253,22,8,6/1/2018 0:00,Classic Cars
10266,22,8,7/6/2018 0:00,Classic Cars
10276,47,8,8/2/2018 0:00,Classic Cars
10287,45,8,8/30/2018 0:00,Classic Cars
10300,29,3984.6,10/4/2003 0:00,Classic Cars
10310,24,8,10/16/2018 0:00,Classic Cars
10320,35,8,11/3/2018 0:00,Classic Cars
10329,46,8,11/15/2018 0:00,Classic Cars
10341,44,8,11/24/2018 0:00,Classic Cars
10363,34,7,1/6/2019 0:00,Classic Cars
10376,35,7,2/8/2019 0:00,Classic Cars
10389,25,7,3/3/2019 0:00,Classic Cars
10419,10,6,5/17/2019 0:00,Classic Cars
10105,29,4566.05,2/11/2003 0:00,Classic Cars
10117,39,5938.14,4/16/2003 0:00,Classic Cars
10127,42,8138.76,6/3/2003 0:00,Classic Cars
10142,46,9470.94,8/8/2003 0:00,Classic Cars
10153,49,7036.89,9/28/2003 0:00,Classic Cars
10165,27,5559.03,10/22/2003 0:00,Classic Cars
10176,50,7872.5,11/6/2003 0:00,Classic Cars
10185,43,7886.2,11/14/2003 0:00,Classic Cars
10196,38,7232.16,11/26/2003 0:00,Classic Cars
10208,20,8,1/2/2018 0:00,Classic Cars
10220,27,8,2/12/2018 0:00,Classic Cars
10231,49,8,3/19/2018 0:00,Classic Cars
10247,27,8,5/5/2018 0:00,Classic Cars
10272,39,8,7/20/2018 0:00,Classic Cars
10282,24,8,8/20/2018 0:00,Classic Cars
10293,45,8,9/9/2018 0:00,Classic Cars
10306,20,8,10/14/2018 0:00,Classic Cars
10314,36,8,10/22/2018 0:00,Classic Cars
10325,24,8,11/5/2018 0:00,Classic Cars
10336,49,8,11/20/2018 0:00,Classic Cars
10349,26,8,12/1/2018 0:00,Classic Cars
10359,49,8,12/15/2018 0:00,Classic Cars
10372,34,7,1/26/2019 0:00,Classic Cars
10382,34,7,2/17/2019 0:00,Classic Cars
10396,33,7,3/23/2019 0:00,Classic Cars
10413,22,6,5/5/2019 0:00,Classic Cars
10108,39,3485.82,3/3/2003 0:00,Classic Cars
10122,32,2042.88,5/8/2003 0:00,Classic Cars
10135,24,1800.24,7/2/2003 0:00,Classic Cars
10147,21,1340.64,9/5/2003 0:00,Classic Cars
10159,24,1762.08,10/10/2003 0:00,Classic Cars
10169,36,2298.24,11/4/2003 0:00,Classic Cars
10181,20,1628,11/12/2003 0:00,Classic Cars
10191,30,1939.2,11/20/2003 0:00,Classic Cars
10203,44,3651.56,12/2/2003 0:00,Classic Cars
10211,28,8,1/15/2018 0:00,Classic Cars
10225,37,8,2/22/2018 0:00,Classic Cars
10238,20,8,4/9/2018 0:00,Classic Cars
10253,25,8,6/1/2018 0:00,Classic Cars
10266,35,8,7/6/2018 0:00,Classic Cars
10276,38,8,8/2/2018 0:00,Classic Cars
10287,41,8,8/30/2018 0:00,Classic Cars
10300,22,1685.42,10/4/2003 0:00,Classic Cars
10310,49,8,10/16/2018 0:00,Classic Cars
10320,38,8,11/3/2018 0:00,Classic Cars
10329,33,8,11/15/2018 0:00,Classic Cars
10341,36,8,11/24/2018 0:00,Classic Cars
10363,34,7,1/6/2019 0:00,Classic Cars
10377,24,7,2/9/2019 0:00,Classic Cars
10389,36,7,3/3/2019 0:00,Classic Cars
10419,34,6,5/17/2019 0:00,Classic Cars
10104,41,4615.78,1/31/2003 0:00,Trucks and Buses
10115,46,5723.78,4/4/2003 0:00,Trucks and Buses
10127,24,2559.6,6/3/2003 0:00,Trucks and Buses
10141,21,2140.11,8/1/2003 0:00,Trucks and Buses
10151,24,3327.6,9/21/2003 0:00,Trucks and Buses
10165,48,6825.6,10/22/2003 0:00,Trucks and Buses
10175,26,3543.28,11/6/2003 0:00,Trucks and Buses
10184,37,4516.22,11/14/2003 0:00,Trucks and Buses
10195,49,6445.46,11/25/2003 0:00,Trucks and Buses
10207,34,3384.36,12/9/2003 0:00,Trucks and Buses
10219,48,8,2/10/2018 0:00,Trucks and Buses
10229,36,8,3/11/2018 0:00,Trucks and Buses
10246,46,8,5/5/2018 0:00,Trucks and Buses
10259,46,8,6/15/2018 0:00,Trucks and Buses
10271,31,8,7/20/2018 0:00,Trucks and Buses
10281,41,8,8/19/2018 0:00,Trucks and Buses
10292,21,8,9/8/2018 0:00,Trucks and Buses
10305,38,8,10/13/2018 0:00,Trucks and Buses
10314,45,8,10/22/2018 0:00,Trucks and Buses
10324,26,8,11/5/2018 0:00,Trucks and Buses
10336,38,8,11/20/2018 0:00,Trucks and Buses
10349,48,8,12/1/2018 0:00,Trucks and Buses
10358,42,8,12/10/2018 0:00,Trucks and Buses
10371,49,7,1/23/2019 0:00,Trucks and Buses
10382,32,7,2/17/2019 0:00,Trucks and Buses
10412,54,6,5/3/2019 0:00,Trucks and Buses
10425,33,6,5/31/2019 0:00,Trucks and Buses
10108,36,3731.04,3/3/2003 0:00,Classic Cars
10122,20,2142,5/8/2003 0:00,Classic Cars
10135,29,2838.81,7/2/2003 0:00,Classic Cars
10147,33,3230.37,9/5/2003 0:00,Classic Cars
10160,50,5182,10/11/2003 0:00,Classic Cars
10170,41,4391.1,11/4/2003 0:00,Classic Cars
10181,36,4477.32,11/12/2003 0:00,Classic Cars
10192,27,3544.56,11/20/2003 0:00,Classic Cars
10203,47,5195.85,12/2/2003 0:00,Classic Cars
10212,33,8,1/16/2018 0:00,Classic Cars
10225,21,8,2/22/2018 0:00,Classic Cars
10239,21,8,4/12/2018 0:00,Classic Cars
10253,41,8,6/1/2018 0:00,Classic Cars
10266,40,8,7/6/2018 0:00,Classic Cars
10277,28,8,8/4/2018 0:00,Classic Cars
10287,23,8,8/30/2018 0:00,Classic Cars
10300,23,2807.61,10/4/2003 0:00,Classic Cars
10310,25,8,10/16/2018 0:00,Classic Cars
10321,24,8,11/4/2018 0:00,Classic Cars
10329,39,8,11/15/2018 0:00,Classic Cars
10341,55,8,11/24/2018 0:00,Classic Cars
10363,46,7,1/6/2019 0:00,Classic Cars
10377,50,7,2/9/2019 0:00,Classic Cars
10389,47,7,3/3/2019 0:00,Classic Cars
10405,97,7,4/14/2019 0:00,Classic Cars
10419,32,6,5/17/2019 0:00,Classic Cars
10103,35,3920,1/29/2003 0:00,Trucks and Buses
10113,49,4916.66,3/26/2003 0:00,Trucks and Buses
10126,38,3857,5/28/2003 0:00,Trucks and Buses
10140,32,4181.44,7/24/2003 0:00,Trucks and Buses
10150,34,4641,9/19/2003 0:00,Trucks and Buses
10164,36,3570.12,10/21/2003 0:00,Trucks and Buses
10174,48,4480.32,11/6/2003 0:00,Trucks and Buses
10183,21,2033.64,11/13/2003 0:00,Trucks and Buses
10194,21,1960.14,11/25/2003 0:00,Trucks and Buses
10206,34,3966.78,12/5/2003 0:00,Trucks and Buses
10215,46,8,1/29/2018 0:00,Trucks and Buses
10228,32,8,3/10/2018 0:00,Trucks and Buses
10245,29,8,5/4/2018 0:00,Trucks and Buses
10258,41,8,6/15/2018 0:00,Trucks and Buses
10270,43,8,7/19/2018 0:00,Trucks and Buses
10280,24,8,8/17/2018 0:00,Trucks and Buses
10291,41,8,9/8/2018 0:00,Trucks and Buses
10304,46,8,10/11/2018 0:00,Trucks and Buses
10312,32,8,10/21/2018 0:00,Trucks and Buses
10322,22,8,11/4/2018 0:00,Trucks and Buses
10333,29,8,11/18/2018 0:00,Trucks and Buses
10347,42,8,11/29/2018 0:00,Trucks and Buses
10357,39,8,12/10/2018 0:00,Trucks and Buses
10370,27,7,1/20/2019 0:00,Trucks and Buses
10381,48,7,2/17/2019 0:00,Trucks and Buses
10391,29,7,3/9/2019 0:00,Trucks and Buses
10411,27,6,5/1/2019 0:00,Trucks and Buses
10424,54,6,5/31/2019 0:00,Trucks and Buses
10109,26,4379.18,3/10/2003 0:00,Classic Cars
10122,34,5004.8,5/8/2003 0:00,Classic Cars
10136,25,3644.75,7/4/2003 0:00,Classic Cars
10148,23,2702.04,9/11/2003 0:00,Classic Cars
10161,28,3764.88,10/17/2003 0:00,Classic Cars
10171,35,4508,11/5/2003 0:00,Classic Cars
10181,44,5418.16,11/12/2003 0:00,Classic Cars
10192,22,3300.66,11/20/2003 0:00,Classic Cars
10204,42,6182.4,12/2/2003 0:00,Classic Cars
10212,29,8,1/16/2018 0:00,Classic Cars
10225,32,8,2/22/2018 0:00,Classic Cars
10240,41,8,4/13/2018 0:00,Classic Cars
10253,26,8,6/1/2018 0:00,Classic Cars
10266,21,8,7/6/2018 0:00,Classic Cars
10278,34,8,8/6/2018 0:00,Classic Cars
10287,41,8,8/30/2018 0:00,Classic Cars
10301,37,5917.78,10/5/2003 0:00,Classic Cars
10310,37,8,10/16/2018 0:00,Classic Cars
10321,41,8,11/4/2018 0:00,Classic Cars
10331,46,8,11/17/2018 0:00,Classic Cars
10342,40,8,11/24/2018 0:00,Classic Cars
10356,43,8,12/9/2018 0:00,Classic Cars
10365,30,7,1/7/2019 0:00,Classic Cars
10377,35,7,2/9/2019 0:00,Classic Cars
10390,36,7,3/4/2019 0:00,Classic Cars
10406,61,7,4/15/2019 0:00,Classic Cars
10419,38,6,5/17/2019 0:00,Classic Cars
10102,39,4808.31,1/10/2003 0:00,Vintage Cars
10111,33,3288.78,3/25/2003 0:00,Vintage Cars
10125,32,3254.72,5/21/2003 0:00,Vintage Cars
10139,31,3184.94,7/16/2003 0:00,Vintage Cars
10149,50,5907.5,9/12/2003 0:00,Vintage Cars
10162,48,4389.12,10/18/2003 0:00,Vintage Cars
10173,43,5036.16,11/5/2003 0:00,Vintage Cars
10182,25,2183.25,11/12/2003 0:00,Vintage Cars
10193,28,3106.88,11/21/2003 0:00,Vintage Cars
10205,36,3735.72,12/3/2003 0:00,Vintage Cars
10215,27,8,1/29/2018 0:00,Vintage Cars
10227,25,8,3/2/2018 0:00,Vintage Cars
10244,40,8,4/29/2018 0:00,Vintage Cars
10256,34,8,6/8/2018 0:00,Vintage Cars
10280,50,8,8/17/2018 0:00,Vintage Cars
10289,38,8,9/3/2018 0:00,Vintage Cars
10304,37,8,10/11/2018 0:00,Vintage Cars
10312,43,8,10/21/2018 0:00,Vintage Cars
10322,43,8,11/4/2018 0:00,Vintage Cars
10332,46,8,11/17/2018 0:00,Vintage Cars
10346,42,8,11/29/2018 0:00,Vintage Cars
10356,50,8,12/9/2018 0:00,Vintage Cars
10369,44,7,1/20/2019 0:00,Vintage Cars
10380,27,7,2/16/2019 0:00,Vintage Cars
10391,35,7,3/9/2019 0:00,Vintage Cars
10422,51,6,5/30/2019 0:00,Vintage Cars
10102,41,2055.74,1/10/2003 0:00,Vintage Cars
10111,48,2354.88,3/25/2003 0:00,Vintage Cars
10126,42,2309.58,5/28/2003 0:00,Vintage Cars
10139,49,2113.37,7/16/2003 0:00,Vintage Cars
10149,30,1746.6,9/12/2003 0:00,Vintage Cars
10162,45,2304.45,10/18/2003 0:00,Vintage Cars
10173,48,2122.08,11/5/2003 0:00,Vintage Cars
10182,32,1742.4,11/12/2003 0:00,Vintage Cars
10193,46,2455.02,11/21/2003 0:00,Vintage Cars
10205,48,3053.28,12/3/2003 0:00,Vintage Cars
10215,33,8,1/29/2018 0:00,Vintage Cars
10227,31,8,3/2/2018 0:00,Vintage Cars
10244,20,8,4/29/2018 0:00,Vintage Cars
10256,29,8,6/8/2018 0:00,Vintage Cars
10280,27,8,8/17/2018 0:00,Vintage Cars
10289,24,8,9/3/2018 0:00,Vintage Cars
10304,37,8,10/11/2018 0:00,Vintage Cars
10312,25,8,10/21/2018 0:00,Vintage Cars
10322,41,8,11/4/2018 0:00,Vintage Cars
10332,27,8,11/17/2018 0:00,Vintage Cars
10347,21,8,11/29/2018 0:00,Vintage Cars
10356,22,8,12/9/2018 0:00,Vintage Cars
10369,32,7,1/20/2019 0:00,Vintage Cars
10381,25,7,2/17/2019 0:00,Vintage Cars
